Category,Product Name,Weight (kg),Fragility,Weight Category,Predicted Packaging Material,Protective Packaging Tip,Image Paths
Electronics,Speaker system,7.565796267,Moderately Fragile,Moderately Fragile,Polyethylene foam rolls,Products in this category are moderately fragile and require adequate protection with materials like bubble wrap or foam padding.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Polyethylene foam rolls\Image_1.jpg
Electronics,External hard drive,27.04329305,Moderately Fragile,Highly Fragile,Paper cushioning,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Paper cushioning\Image_1.jpg
Electronics,Graphics tablet,24.44874412,Moderately Fragile,Highly Fragile,Composite foam panels,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Composite foam panels\Image_1.jpg
Electronics,Wireless charger,31.65337296,Moderately Fragile,Highly Fragile,Composite foam panels,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Composite foam panels\Image_1.jpg
Electronics,Action camera,25.04168495,Moderately Fragile,Highly Fragile,Corrugated mailers,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Corrugated mailers\Image_1.jpg
Electronics,Drone,29.65677689,Moderately Fragile,Highly Fragile,Corrugated plastic sheets,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Corrugated plastic sheets\Image_1.jpg
Electronics,Gaming console,18.39469508,Moderately Fragile,Highly Fragile,Polyethylene foam rolls,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Polyethylene foam rolls\Image_1.jpg
Electronics,Virtual reality headset,15.18043556,Moderately Fragile,Highly Fragile,Corrugated mailers,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Corrugated mailers\Image_1.jpg
Electronics,Fitness tracker,29.55335338,Moderately Fragile,Highly Fragile,Foam sheets,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Foam sheets\Image_1.jpg
Electronics,Digital camera,14.37637286,Moderately Fragile,Highly Fragile,Molded fiber packaging,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Molded fiber packaging\Image_1.jpg
Electronics,E-reader,10.19431936,Moderately Fragile,Highly Fragile,Corrugated plastic sheets,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Corrugated plastic sheets\Image_1.jpg
Electronics,Portable power bank,24.11152457,Moderately Fragile,Highly Fragile,Composite foam panels,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Composite foam panels\Image_1.jpg
Electronics,USB flash drive,40.58025972,Moderately Fragile,Highly Fragile,Corrugated plastic sheets,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Corrugated plastic sheets\Image_1.jpg
Electronics,Bluetooth earbuds,36.54762671,Moderately Fragile,Highly Fragile,Polyethylene foam rolls,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Polyethylene foam rolls\Image_1.jpg
Electronics,Microphone,21.6109654,Moderately Fragile,Highly Fragile,Molded fiber packaging,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Molded fiber packaging\Image_1.jpg
Electronics,Projector,40.42720843,Moderately Fragile,Highly Fragile,Polyethylene foam rolls,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Polyethylene foam rolls\Image_1.jpg
Electronics,Webcam,23.89564804,Moderately Fragile,Highly Fragile,Polyethylene foam rolls,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Polyethylene foam rolls\Image_1.jpg
Electronics,Solar charger,24.45844921,Moderately Fragile,Highly Fragile,Corrugated plastic sheets,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Corrugated plastic sheets\Image_1.jpg
Electronics,GPS device,9.543433164,Moderately Fragile,Moderately Fragile,Corrugated mailers,Products in this category are moderately fragile and require adequate protection with materials like bubble wrap or foam padding.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Corrugated mailers\Image_1.jpg
Electronics,LED flashlight,1.566890282,Moderately Fragile,Not Fragile,Composite foam panels,"While moderately fragile, products in this category can be packed in standard cardboard boxes with some added protection like foam padding or air pillows.",C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Composite foam panels\Image_1.jpg
Electronics,CCTV camera,44.40898803,Moderately Fragile,Highly Fragile,Composite foam panels,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Composite foam panels\Image_1.jpg
Electronics,Barcode scanner,6.850453005,Moderately Fragile,Moderately Fragile,Foam sheets,Products in this category are moderately fragile and require adequate protection with materials like bubble wrap or foam padding.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Foam sheets\Image_1.jpg
Electronics,Satellite phone,32.24536804,Moderately Fragile,Highly Fragile,Biodegradable bubble wrap,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Biodegradable bubble wrap\Image_1.jpg
Electronics,Wireless presenter,46.60006631,Moderately Fragile,Highly Fragile,Polyethylene foam rolls,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Polyethylene foam rolls\Image_1.jpg
Electronics,Voice recorder,26.84141186,Moderately Fragile,Highly Fragile,Biodegradable bubble wrap,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Biodegradable bubble wrap\Image_1.jpg
Electronics,Calculator,34.9776611,Moderately Fragile,Highly Fragile,Corrugated mailers,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Corrugated mailers\Image_1.jpg
Electronics,Electric toothbrush,37.17983375,Moderately Fragile,Highly Fragile,Paper cushioning,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Paper cushioning\Image_1.jpg
Electronics,Hair straightener,40.38579744,Moderately Fragile,Highly Fragile,Biodegradable bubble wrap,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Biodegradable bubble wrap\Image_1.jpg
Electronics,Air purifier,9.135340002,Moderately Fragile,Moderately Fragile,Foam sheets,Products in this category are moderately fragile and require adequate protection with materials like bubble wrap or foam padding.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Foam sheets\Image_1.jpg
Electronics,Humidifier,10.6034332,Moderately Fragile,Highly Fragile,Foam sheets,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Foam sheets\Image_1.jpg
Electronics,Robot vacuum cleaner,43.44641143,Moderately Fragile,Highly Fragile,Paper cushioning,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Paper cushioning\Image_1.jpg
Electronics,Bluetooth speaker,33.32702389,Moderately Fragile,Highly Fragile,Biodegradable bubble wrap,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Biodegradable bubble wrap\Image_1.jpg
Electronics,Digital voice assistant,27.89699094,Moderately Fragile,Highly Fragile,Molded fiber packaging,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Molded fiber packaging\Image_1.jpg
Electronics,Car dash cam,17.91459189,Moderately Fragile,Highly Fragile,Polyethylene foam rolls,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Polyethylene foam rolls\Image_1.jpg
Electronics,Electric shaver,18.16709275,Moderately Fragile,Highly Fragile,Foam sheets,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Foam sheets\Image_1.jpg
Electronics,Portable DVD player,39.9001607,Moderately Fragile,Highly Fragile,Corrugated plastic sheets,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Corrugated plastic sheets\Image_1.jpg
Electronics,Digital photo frame,4.496131655,Moderately Fragile,Not Fragile,Molded fiber packaging,"While moderately fragile, products in this category can be packed in standard cardboard boxes with some added protection like foam padding or air pillows.",C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Molded fiber packaging\Image_1.jpg
Electronics,Handheld game console,25.79436466,Moderately Fragile,Highly Fragile,Biodegradable bubble wrap,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Biodegradable bubble wrap\Image_1.jpg
Electronics,Portable CD player,27.49558338,Moderately Fragile,Highly Fragile,Polyethylene foam rolls,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Polyethylene foam rolls\Image_1.jpg
Electronics,Graphing calculator,19.2565421,Moderately Fragile,Highly Fragile,Corrugated mailers,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Corrugated mailers\Image_1.jpg
Electronics,Electronic dictionary,42.776421,Moderately Fragile,Highly Fragile,Corrugated plastic sheets,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Corrugated plastic sheets\Image_1.jpg
Electronics,Wireless mouse,39.34724302,Moderately Fragile,Highly Fragile,Paper cushioning,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Paper cushioning\Image_1.jpg
Electronics,Fitness smartwatch,45.23136062,Moderately Fragile,Highly Fragile,Biodegradable bubble wrap,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Biodegradable bubble wrap\Image_1.jpg
Electronics,Wi-Fi range extender,24.02713553,Moderately Fragile,Highly Fragile,Foam sheets,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Foam sheets\Image_1.jpg
Electronics,Mini projector,3.698945582,Moderately Fragile,Not Fragile,Molded fiber packaging,"While moderately fragile, products in this category can be packed in standard cardboard boxes with some added protection like foam padding or air pillows.",C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Molded fiber packaging\Image_1.jpg
Electronics,Bluetooth keyboard,28.75271534,Moderately Fragile,Highly Fragile,Biodegradable bubble wrap,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Biodegradable bubble wrap\Image_1.jpg
Electronics,External DVD drive,28.43493236,Moderately Fragile,Highly Fragile,Corrugated plastic sheets,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Corrugated plastic sheets\Image_1.jpg
Electronics,Flashlight,31.48878875,Moderately Fragile,Highly Fragile,Composite foam panels,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Composite foam panels\Image_1.jpg
Electronics,USB hub,2.897193378,Moderately Fragile,Not Fragile,Molded fiber packaging,"While moderately fragile, products in this category can be packed in standard cardboard boxes with some added protection like foam padding or air pillows.",C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Molded fiber packaging\Image_1.jpg
Electronics,Action camera accessories,41.61538182,Moderately Fragile,Highly Fragile,Biodegradable bubble wrap,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Biodegradable bubble wrap\Image_1.jpg
Electronics,Screen protector,23.93159966,Moderately Fragile,Highly Fragile,Molded fiber packaging,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Molded fiber packaging\Image_1.jpg
Electronics,Gaming headset,13.72428587,Moderately Fragile,Highly Fragile,Polyethylene foam rolls,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Polyethylene foam rolls\Image_1.jpg
Electronics,Wireless charging pad,8.705590355,Moderately Fragile,Moderately Fragile,Biodegradable bubble wrap,Products in this category are moderately fragile and require adequate protection with materials like bubble wrap or foam padding.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Biodegradable bubble wrap\Image_1.jpg
Electronics,Bluetooth FM transmitter,31.45158431,Moderately Fragile,Highly Fragile,Paper cushioning,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Paper cushioning\Image_1.jpg
Electronics,Dash cam accessories,26.69469606,Moderately Fragile,Highly Fragile,Biodegradable bubble wrap,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Biodegradable bubble wrap\Image_1.jpg
Electronics,Laptop cooling pad,27.21401235,Moderately Fragile,Highly Fragile,Composite foam panels,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Composite foam panels\Image_1.jpg
Electronics,Wireless remote control,20.41968856,Moderately Fragile,Highly Fragile,Corrugated plastic sheets,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Corrugated plastic sheets\Image_1.jpg
Electronics,USB microphone,19.14099552,Moderately Fragile,Highly Fragile,Composite foam panels,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Composite foam panels\Image_1.jpg
Electronics,Smartphone tripod,34.16022947,Moderately Fragile,Highly Fragile,Foam sheets,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Foam sheets\Image_1.jpg
Electronics,USB fan,17.97217755,Moderately Fragile,Highly Fragile,Molded fiber packaging,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Molded fiber packaging\Image_1.jpg
Electronics,External SSD,4.809361874,Moderately Fragile,Not Fragile,Corrugated plastic sheets,"While moderately fragile, products in this category can be packed in standard cardboard boxes with some added protection like foam padding or air pillows.",C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Corrugated plastic sheets\Image_1.jpg
Electronics,Graphics card,47.4605395,Moderately Fragile,Highly Fragile,Foam sheets,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Foam sheets\Image_1.jpg
Electronics,Wireless earphones,47.83211277,Moderately Fragile,Highly Fragile,Composite foam panels,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Composite foam panels\Image_1.jpg
Electronics,Wireless router,23.01422689,Moderately Fragile,Highly Fragile,Biodegradable bubble wrap,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Biodegradable bubble wrap\Image_1.jpg
Electronics,Portable scanner,36.54328726,Moderately Fragile,Highly Fragile,Corrugated mailers,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Corrugated mailers\Image_1.jpg
Electronics,Digital voice recorder,5.208179558,Moderately Fragile,Moderately Fragile,Corrugated mailers,Products in this category are moderately fragile and require adequate protection with materials like bubble wrap or foam padding.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Corrugated mailers\Image_1.jpg
Electronics,USB-C hub,5.35134212,Moderately Fragile,Moderately Fragile,Molded fiber packaging,Products in this category are moderately fragile and require adequate protection with materials like bubble wrap or foam padding.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Molded fiber packaging\Image_1.jpg
Electronics,Bluetooth receiver,24.52683502,Moderately Fragile,Highly Fragile,Biodegradable bubble wrap,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Biodegradable bubble wrap\Image_1.jpg
Electronics,VR headset accessories,38.52558754,Moderately Fragile,Highly Fragile,Molded fiber packaging,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Molded fiber packaging\Image_1.jpg
Electronics,Wireless barcode scanner,22.54060182,Moderately Fragile,Highly Fragile,Foam sheets,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Foam sheets\Image_1.jpg
Electronics,Solar power bank,30.36082901,Moderately Fragile,Highly Fragile,Foam sheets,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Foam sheets\Image_1.jpg
Electronics,MicroSD card,43.601006,Moderately Fragile,Highly Fragile,Biodegradable bubble wrap,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Biodegradable bubble wrap\Image_1.jpg
Electronics,Smart glasses,9.343003533,Moderately Fragile,Moderately Fragile,Composite foam panels,Products in this category are moderately fragile and require adequate protection with materials like bubble wrap or foam padding.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Composite foam panels\Image_1.jpg
Electronics,Wireless presenter remote,7.306845612,Moderately Fragile,Moderately Fragile,Composite foam panels,Products in this category are moderately fragile and require adequate protection with materials like bubble wrap or foam padding.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Composite foam panels\Image_1.jpg
Electronics,USB LED light,37.14637963,Moderately Fragile,Highly Fragile,Paper cushioning,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Paper cushioning\Image_1.jpg
Electronics,Bluetooth gamepad,8.661461837,Moderately Fragile,Moderately Fragile,Corrugated mailers,Products in this category are moderately fragile and require adequate protection with materials like bubble wrap or foam padding.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Corrugated mailers\Image_1.jpg
Electronics,Mini keyboard,7.469150365,Moderately Fragile,Moderately Fragile,Corrugated mailers,Products in this category are moderately fragile and require adequate protection with materials like bubble wrap or foam padding.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Corrugated mailers\Image_1.jpg
Electronics,Portable keyboard,22.50356445,Moderately Fragile,Highly Fragile,Corrugated mailers,These products are moderately fragile but leaning towards highly fragile. It's recommended to use substantial padding and cushioning materials to prevent damage during transit.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Corrugated mailers\Image_1.jpg
Electronics,USB fingerprint reader,4.684431045,Moderately Fragile,Not Fragile,Molded fiber packaging,"While moderately fragile, products in this category can be packed in standard cardboard boxes with some added protection like foam padding or air pillows.",C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Molded fiber packaging\Image_1.jpg
