Category,Product Name,Material Composition,Product Name with Keywords,Fragility,Predicted Packaging Material,Protective Packaging Tip,Image Paths
Electronics,"Electronic dictionary: Plastic, metal","['Metal', 'Plastic']","Electronic dictionary: Plastic, metal metal aluminum steel iron stainless steel phosphor bronze mercury plastic polyethylene polypropylene PVC nylon synthetic leather rubber",Moderately Fragile,Foam pouches,Products in this category are moderately fragile and require adequate protection with materials like bubble wrap or foam padding.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Foam pouches\Image_1.jpg
Electronics,"Wireless mouse: Plastic, metal","['Metal', 'Plastic']","Wireless mouse: Plastic, metal metal aluminum steel iron stainless steel phosphor bronze mercury plastic polyethylene polypropylene PVC nylon synthetic leather rubber",Moderately Fragile,Foam pouches,Products in this category are moderately fragile and require adequate protection with materials like bubble wrap or foam padding.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Foam pouches\Image_1.jpg
Electronics,"Fitness smartwatch: Metal, plastic, glass","['Metal', 'Plastic', 'Glass']","Fitness smartwatch: Metal, plastic, glass metal aluminum steel iron stainless steel phosphor bronze mercury plastic polyethylene polypropylene PVC nylon synthetic leather rubber glass crystal transparent",Highly Fragile,Packing peanuts,Products in this category are highly fragile and require the utmost care during packaging. Use multiple layers of padding and consider double boxing for added protection.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Packing peanuts\Image_1.jpg
Electronics,"Wi-Fi range extender: Plastic, metal","['Metal', 'Plastic']","Wi-Fi range extender: Plastic, metal metal aluminum steel iron stainless steel phosphor bronze mercury plastic polyethylene polypropylene PVC nylon synthetic leather rubber",Moderately Fragile,Foam pouches,Products in this category are moderately fragile and require adequate protection with materials like bubble wrap or foam padding.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Foam pouches\Image_1.jpg
Electronics,"Mini projector: Plastic, metal","['Metal', 'Plastic']","Mini projector: Plastic, metal metal aluminum steel iron stainless steel phosphor bronze mercury plastic polyethylene polypropylene PVC nylon synthetic leather rubber",Moderately Fragile,Foam pouches,Products in this category are moderately fragile and require adequate protection with materials like bubble wrap or foam padding.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Foam pouches\Image_1.jpg
Electronics,"Bluetooth keyboard: Plastic, metal","['Metal', 'Plastic']","Bluetooth keyboard: Plastic, metal metal aluminum steel iron stainless steel phosphor bronze mercury plastic polyethylene polypropylene PVC nylon synthetic leather rubber",Moderately Fragile,Foam pouches,Products in this category are moderately fragile and require adequate protection with materials like bubble wrap or foam padding.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Foam pouches\Image_1.jpg
Electronics,"External DVD drive: Plastic, metal","['Metal', 'Plastic']","External DVD drive: Plastic, metal metal aluminum steel iron stainless steel phosphor bronze mercury plastic polyethylene polypropylene PVC nylon synthetic leather rubber",Moderately Fragile,Foam pouches,Products in this category are moderately fragile and require adequate protection with materials like bubble wrap or foam padding.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Foam pouches\Image_1.jpg
Electronics,"Flashlight: Metal, plastic","['Metal', 'Plastic']","Flashlight: Metal, plastic metal aluminum steel iron stainless steel phosphor bronze mercury plastic polyethylene polypropylene PVC nylon synthetic leather rubber",Moderately Fragile,Foam pouches,Products in this category are moderately fragile and require adequate protection with materials like bubble wrap or foam padding.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Foam pouches\Image_1.jpg
Electronics,"USB hub: Plastic, metal","['Metal', 'Plastic']","USB hub: Plastic, metal metal aluminum steel iron stainless steel phosphor bronze mercury plastic polyethylene polypropylene PVC nylon synthetic leather rubber",Moderately Fragile,Foam pouches,Products in this category are moderately fragile and require adequate protection with materials like bubble wrap or foam padding.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Foam pouches\Image_1.jpg
Electronics,"Action camera accessories: Plastic, metal","['Metal', 'Plastic']","Action camera accessories: Plastic, metal metal aluminum steel iron stainless steel phosphor bronze mercury plastic polyethylene polypropylene PVC nylon synthetic leather rubber",Moderately Fragile,Foam pouches,Products in this category are moderately fragile and require adequate protection with materials like bubble wrap or foam padding.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Foam pouches\Image_1.jpg
Electronics,"Screen protector: Glass, plastic","['Plastic', 'Glass']","Screen protector: Glass, plastic plastic polyethylene polypropylene PVC nylon synthetic leather rubber glass crystal transparent",Highly Fragile,Packing peanuts,Products in this category are highly fragile and require the utmost care during packaging. Use multiple layers of padding and consider double boxing for added protection.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Packing peanuts\Image_1.jpg
Electronics,"Gaming headset: Plastic, metal, fabric","['Metal', 'Plastic', 'Fabric']","Gaming headset: Plastic, metal, fabric metal aluminum steel iron stainless steel phosphor bronze mercury plastic polyethylene polypropylene PVC nylon synthetic leather rubber fabric cotton polyester rayon denim silk chiffon wool acrylic cashmere linen spandex fleece down modal",Moderately Fragile,Foam pouches,Products in this category are moderately fragile and require adequate protection with materials like bubble wrap or foam padding.,C:\Users\fidha\OneDrive\Desktop\LOGISTICS\logistica-1.0.0\material_images\Foam pouches\Image_1.jpg
